Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,EBITDA ,Current Ratio
2022/12/20,131.389999,133.25,129.889999,132.300003,131.067276,77432800,90146,20721,1.29,24894,27759,0.88
2022/12/21,132.979996,136.809998,132.75,135.449997,134.187912,85928000,90146,20721,1.29,24894,27759,0.88
2022/12/22,134.350006,134.559998,130.300003,132.229996,130.99791,77852100,90146,20721,1.29,24894,27759,0.88
2022/12/23,130.919998,132.419998,129.639999,131.860001,130.631363,63814900,90146,20721,1.29,24894,27759,0.88
2022/12/27,131.380005,131.410004,128.720001,130.029999,128.818405,69007800,90146,20721,1.29,24894,27759,0.88
2022/12/28,129.669998,131.029999,125.870003,126.040001,124.865601,85438400,90146,20721,1.29,24894,27759,0.88
2022/12/29,127.989998,130.479996,127.730003,129.610001,128.402328,75703700,90146,20721,1.29,24894,27759,0.88
2022/12/30,128.410004,129.949997,127.43,129.929993,128.71936,77034200,90146,20721,1.29,24894,27759,0.88
2023/1/3,130.279999,130.899994,124.169998,125.07,123.904633,112117500,117154,29998,1.88,36016,38932,0.94
2023/1/4,126.889999,128.660004,125.080002,126.360001,125.18261,89113600,117154,29998,1.88,36016,38932,0.94
2023/1/5,127.129997,127.769997,124.760002,125.019997,123.855095,80962700,117154,29998,1.88,36016,38932,0.94
2023/1/6,126.010002,130.289993,124.889999,129.619995,128.412216,87754700,117154,29998,1.88,36016,38932,0.94
2023/1/9,130.470001,133.410004,129.889999,130.149994,128.937302,70790800,117154,29998,1.88,36016,38932,0.94
2023/1/10,130.259995,131.259995,128.119995,130.729996,129.511917,63896200,117154,29998,1.88,36016,38932,0.94
2023/1/11,131.25,133.509995,130.460007,133.490005,132.246185,69458900,117154,29998,1.88,36016,38932,0.94
2023/1/12,133.880005,134.259995,131.440002,133.410004,132.166931,71379600,117154,29998,1.88,36016,38932,0.94
2023/1/13,132.029999,134.919998,131.660004,134.759995,133.504349,57809700,117154,29998,1.88,36016,38932,0.94
2023/1/17,134.830002,137.289993,134.130005,135.940002,134.67334,63646600,117154,29998,1.88,36016,38932,0.94
2023/1/18,136.820007,138.610001,135.029999,135.210007,133.95015,69672800,117154,29998,1.88,36016,38932,0.94
2023/1/19,134.080002,136.25,133.770004,135.270004,134.009598,58280400,117154,29998,1.88,36016,38932,0.94
2023/1/20,135.279999,138.020004,134.220001,137.869995,136.585358,80223600,117154,29998,1.88,36016,38932,0.94
2023/1/23,138.119995,143.320007,137.899994,141.110001,139.795181,81760300,117154,29998,1.88,36016,38932,0.94
2023/1/24,140.309998,143.160004,140.300003,142.529999,141.201935,66435100,117154,29998,1.88,36016,38932,0.94
2023/1/25,140.889999,142.429993,138.809998,141.860001,140.538193,65799300,117154,29998,1.88,36016,38932,0.94
2023/1/26,143.169998,144.25,141.899994,143.960007,142.618622,54105100,117154,29998,1.88,36016,38932,0.94
2023/1/27,143.160004,147.229996,143.080002,145.929993,144.570251,70555800,117154,29998,1.88,36016,38932,0.94
2023/1/30,144.960007,145.550003,142.850006,143,141.667572,64015300,117154,29998,1.88,36016,38932,0.94
2023/1/31,142.699997,144.339996,142.279999,144.289993,142.945541,65874500,117154,29998,1.88,36016,38932,0.94
2023/2/1,143.970001,146.610001,141.320007,145.429993,144.074921,77663600,117154,29998,1.88,36016,38932,0.94
2023/2/2,148.899994,151.179993,148.169998,150.820007,149.414703,118339000,117154,29998,1.88,36016,38932,0.94
2023/2/3,148.029999,157.380005,147.830002,154.5,153.060394,154357300,117154,29998,1.88,36016,38932,0.94
2023/2/6,152.570007,153.100006,150.779999,151.729996,150.316208,69858300,117154,29998,1.88,36016,38932,0.94
2023/2/7,150.639999,155.229996,150.639999,154.649994,153.209,83322600,117154,29998,1.88,36016,38932,0.94
2023/2/8,153.880005,154.580002,151.169998,151.919998,150.504425,64120100,117154,29998,1.88,36016,38932,0.94
2023/2/9,153.779999,154.330002,150.419998,150.869995,149.464218,56007100,117154,29998,1.88,36016,38932,0.94
2023/2/10,149.460007,151.339996,149.220001,151.009995,149.831329,57450700,117154,29998,1.88,36016,38932,0.94
2023/2/13,150.949997,154.259995,150.919998,153.850006,152.64917,62199000,117154,29998,1.88,36016,38932,0.94
2023/2/14,152.119995,153.770004,150.860001,153.199997,152.004257,61707600,117154,29998,1.88,36016,38932,0.94
2023/2/15,153.110001,155.5,152.880005,155.330002,154.11763,65573800,117154,29998,1.88,36016,38932,0.94
2023/2/16,153.509995,156.330002,153.350006,153.710007,152.510284,68167900,117154,29998,1.88,36016,38932,0.94
2023/2/17,152.350006,153,150.850006,152.550003,151.359314,59144100,117154,29998,1.88,36016,38932,0.94
2023/2/21,150.199997,151.300003,148.410004,148.479996,147.321091,58867200,117154,29998,1.88,36016,38932,0.94
2023/2/22,148.869995,149.949997,147.160004,148.910004,147.747742,51011300,117154,29998,1.88,36016,38932,0.94
2023/2/23,150.089996,150.339996,147.240005,149.399994,148.233917,48394200,117154,29998,1.88,36016,38932,0.94
2023/2/24,147.110001,147.190002,145.720001,146.710007,145.564926,55469600,117154,29998,1.88,36016,38932,0.94
2023/2/27,147.710007,149.169998,147.449997,147.919998,146.765457,44998500,117154,29998,1.88,36016,38932,0.94
2023/2/28,147.050003,149.080002,146.830002,147.410004,146.259445,50547000,117154,29998,1.88,36016,38932,0.94
2023/3/1,146.830002,147.229996,145.009995,145.309998,144.175827,55479000,117154,29998,1.88,36016,38932,0.94
2023/3/2,144.380005,146.710007,143.899994,145.910004,144.771164,52238100,117154,29998,1.88,36016,38932,0.94
2023/3/3,148.039993,151.110001,147.330002,151.029999,149.851196,70732300,117154,29998,1.88,36016,38932,0.94
2023/3/6,153.789993,156.300003,153.460007,153.830002,152.629349,87558000,117154,29998,1.88,36016,38932,0.94
2023/3/7,153.699997,154.029999,151.130005,151.600006,150.416748,56182000,117154,29998,1.88,36016,38932,0.94
2023/3/8,152.809998,153.470001,151.830002,152.869995,151.676834,47204800,117154,29998,1.88,36016,38932,0.94
2023/3/9,153.559998,154.539993,150.229996,150.589996,149.414612,53833600,117154,29998,1.88,36016,38932,0.94
2023/3/10,150.210007,150.940002,147.610001,148.5,147.340942,68572400,117154,29998,1.88,36016,38932,0.94
2023/3/13,147.809998,153.139999,147.699997,150.470001,149.295547,84457100,117154,29998,1.88,36016,38932,0.94
2023/3/14,151.279999,153.399994,150.100006,152.589996,151.399033,73695900,117154,29998,1.88,36016,38932,0.94
2023/3/15,151.190002,153.25,149.919998,152.990005,151.795898,77167900,117154,29998,1.88,36016,38932,0.94
