Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,Current Ratio,EBITDA
2019/10/9,4.508,4.5675,4.479,4.51775,4.496267,292412000,2579,552,0.02,571,8.65,663
2019/10/10,4.5155,4.627,4.51025,4.57575,4.553991,309124000,2579,552,0.02,571,8.65,663
2019/10/11,4.66025,4.7335,4.64125,4.64975,4.627638,446404000,2579,552,0.02,571,8.65,663
2019/10/14,4.641,4.68425,4.60975,4.66325,4.641074,200040000,2579,552,0.02,571,8.65,663
2019/10/15,4.754,4.98225,4.74,4.90925,4.885904,664124000,2579,552,0.02,571,8.65,663
2019/10/16,4.875,4.9805,4.84375,4.85525,4.83216,428944000,2579,552,0.02,571,8.65,663
2019/10/17,4.9,4.94525,4.8025,4.85725,4.834153,263436000,2579,552,0.02,571,8.65,663
2019/10/18,4.85775,4.8905,4.6875,4.76225,4.739603,307440000,2579,552,0.02,571,8.65,663
2019/10/21,4.824,4.91375,4.805,4.90025,4.876947,261868000,2579,552,0.02,571,8.65,663
2019/10/22,4.9575,5.06325,4.8825,4.89025,4.866996,328720000,2579,552,0.02,571,8.65,663
2019/10/23,4.80775,4.8915,4.77575,4.87725,4.854057,279916000,2579,552,0.02,571,8.65,663
2019/10/24,4.91875,4.95525,4.8845,4.9215,4.898098,232020000,2579,552,0.02,571,8.65,663
2019/10/25,5.0025,5.1345,4.99475,5.1135,5.089183,423092000,2579,552,0.02,571,8.65,663
2019/10/28,5.1575,5.2225,5.128,5.16975,5.145166,330792000,2579,552,0.02,571,8.65,663
2019/10/29,5.15575,5.16225,5.0535,5.073,5.048877,211236000,2579,552,0.02,571,8.65,663
2019/10/30,5.1,5.10575,5.0065,5.075,5.050867,205960000,2579,552,0.02,571,8.65,663
2019/10/31,5.054,5.075,4.94525,5.0255,5.001602,209732000,3014,899,0.04,927,8.42,1019
2019/11/1,4.99,5.09725,4.96475,5.06475,5.040667,283640000,3014,899,0.04,927,8.42,1019
2019/11/4,5.14625,5.275,5.123,5.2625,5.237475,376716000,3014,899,0.04,927,8.42,1019
2019/11/5,5.26225,5.2885,5.192,5.24025,5.215331,300868000,3014,899,0.04,927,8.42,1019
2019/11/6,5.216,5.24175,5.10275,5.19075,5.166065,269012000,3014,899,0.04,927,8.42,1019
2019/11/7,5.27775,5.2925,5.1635,5.2085,5.183733,280340000,3014,899,0.04,927,8.42,1019
2019/11/8,5.1915,5.22625,5.15375,5.1945,5.169799,189100000,3014,899,0.04,927,8.42,1019
2019/11/11,5.19375,5.22775,5.107,5.2045,5.179752,243436000,3014,899,0.04,927,8.42,1019
2019/11/12,5.243,5.2965,5.20775,5.24025,5.215331,283504000,3014,899,0.04,927,8.42,1019
2019/11/13,5.20875,5.2365,5.1475,5.21425,5.189455,300188000,3014,899,0.04,927,8.42,1019
2019/11/14,5.22325,5.247,5.163,5.24475,5.21981,518080000,3014,899,0.04,927,8.42,1019
2019/11/15,5.2425,5.2945,5.016,5.10475,5.080475,1053628000,3014,899,0.04,927,8.42,1019
2019/11/18,5.09725,5.33375,5.09425,5.307,5.281764,574588000,3014,899,0.04,927,8.42,1019
2019/11/19,5.27575,5.2995,5.14125,5.19975,5.175025,414564000,3014,899,0.04,927,8.42,1019
2019/11/20,5.17675,5.36375,5.164,5.2795,5.254395,472588000,3014,899,0.04,927,8.42,1019
2019/11/21,5.275,5.331,5.23275,5.2545,5.229513,288388000,3014,899,0.04,927,8.42,1019
2019/11/22,5.27725,5.324,5.2485,5.27225,5.247179,224100000,3014,899,0.04,927,8.42,1019
2019/11/25,5.401,5.53525,5.388,5.53025,5.503952,506476000,3014,899,0.04,927,8.42,1019
2019/11/26,5.5125,5.51725,5.4185,5.425,5.399203,385244000,3014,899,0.04,927,8.42,1019
2019/11/27,5.46675,5.50125,5.4295,5.456,5.434062,215784000,3014,899,0.04,927,8.42,1019
2019/11/29,5.425,5.4535,5.3945,5.4185,5.396711,141556000,3014,899,0.04,927,8.42,1019
2019/12/2,5.4115,5.425,5.216,5.23125,5.210215,372036000,3014,899,0.04,927,8.42,1019
2019/12/3,5.04675,5.1955,5.00925,5.1915,5.170625,465232000,3014,899,0.04,927,8.42,1019
2019/12/4,5.2755,5.298,5.20675,5.2355,5.214448,273424000,3014,899,0.04,927,8.42,1019
2019/12/5,5.2575,5.27325,5.18775,5.2185,5.197517,184884000,3014,899,0.04,927,8.42,1019
2019/12/6,5.288,5.33725,5.278,5.30425,5.282922,232236000,3014,899,0.04,927,8.42,1019
2019/12/9,5.28125,5.35925,5.2725,5.30425,5.282922,211880000,3014,899,0.04,927,8.42,1019
2019/12/10,5.3345,5.4015,5.2815,5.3495,5.327991,256388000,3014,899,0.04,927,8.42,1019
2019/12/11,5.36,5.439,5.3575,5.4335,5.411653,233796000,3014,899,0.04,927,8.42,1019
2019/12/12,5.4045,5.62,5.3955,5.60175,5.579226,404348000,3014,899,0.04,927,8.42,1019
2019/12/13,5.60475,5.7245,5.5455,5.59975,5.577233,454704000,3014,899,0.04,927,8.42,1019
2019/12/16,5.6475,5.7015,5.61925,5.62875,5.606118,320976000,3014,899,0.04,927,8.42,1019
2019/12/17,5.6475,5.73,5.638,5.70725,5.684302,321196000,3014,899,0.04,927,8.42,1019
2019/12/18,5.74225,5.7985,5.73375,5.73775,5.714678,343548000,3014,899,0.04,927,8.42,1019
2019/12/19,5.7725,5.9,5.7675,5.8865,5.86283,445360000,3014,899,0.04,927,8.42,1019
2019/12/20,5.95325,6.00975,5.934,5.98425,5.960188,603044000,3014,899,0.04,927,8.42,1019
2019/12/23,6.013,6.04525,5.95975,5.9705,5.946493,355060000,3014,899,0.04,927,8.42,1019
2019/12/24,5.955,5.98275,5.9205,5.9655,5.941512,138864000,3014,899,0.04,927,8.42,1019
2019/12/26,5.969,6.008,5.95,5.97975,5.955706,182852000,3014,899,0.04,927,8.42,1019
2019/12/27,5.995,6.0085,5.89525,5.92175,5.89794,254644000,3014,899,0.04,927,8.42,1019
2019/12/30,5.89975,5.905,5.7765,5.808,5.784647,258056000,3014,899,0.04,927,8.42,1019
2019/12/31,5.7725,5.892,5.75325,5.8825,5.858847,231004000,3014,899,0.04,927,8.42,1019
2020/1/2,5.96875,5.99775,5.918,5.99775,5.973634,237536000,3014,899,0.04,927,8.42,1019
2020/1/3,5.8775,5.94575,5.8525,5.90175,5.878019,205384000,3014,899,0.04,927,8.42,1019
2020/1/6,5.808,5.93175,5.78175,5.9265,5.90267,262636000,3014,899,0.04,927,8.42,1019
2020/1/7,5.955,6.04425,5.90975,5.99825,5.974132,314856000,3014,899,0.04,927,8.42,1019
2020/1/8,5.994,6.051,5.95375,6.0095,5.985336,277108000,3014,899,0.04,927,8.42,1019
2020/1/9,6.09625,6.14825,6.0215,6.0755,6.051069,255112000,3014,899,0.04,927,8.42,1019
2020/1/10,6.18325,6.21375,6.09375,6.108,6.08344,316296000,3014,899,0.04,927,8.42,1019
2020/1/13,6.1915,6.32475,6.16875,6.2995,6.274169,319840000,3014,899,0.04,927,8.42,1019
2020/1/14,6.2565,6.282,6.16875,6.182,6.157143,359088000,3014,899,0.04,927,8.42,1019
2020/1/15,6.19475,6.21725,6.11325,6.13925,6.114565,263104000,3014,899,0.04,927,8.42,1019
2020/1/16,6.193,6.22925,6.1695,6.22325,6.198226,284192000,3014,899,0.04,927,8.42,1019
2020/1/17,6.2425,6.25,6.18425,6.232,6.206941,253792000,3014,899,0.04,927,8.42,1019
2020/1/21,6.19525,6.23225,6.16425,6.1985,6.173575,217916000,3014,899,0.04,927,8.42,1019
2020/1/22,6.244,6.33975,6.225,6.25275,6.227608,239240000,3014,899,0.04,927,8.42,1019
2020/1/23,6.293,6.33,6.20375,6.3215,6.296081,244516000,3014,899,0.04,927,8.42,1019
2020/1/24,6.4375,6.4875,6.2075,6.262,6.236821,373512000,3014,899,0.04,927,8.42,1019
2020/1/27,5.956,6.05625,5.80575,6.005,5.980855,470536000,3014,899,0.04,927,8.42,1019
2020/1/28,6.07125,6.23175,6.01775,6.19925,6.174324,310976000,3014,899,0.04,927,8.42,1019
2020/1/29,6.18475,6.221,6.0985,6.1385,6.113818,258848000,3014,899,0.04,927,8.42,1019
2020/1/30,6.04025,6.15875,5.985,6.14525,6.120539,290504000,3014,899,0.04,927,8.42,1019
2020/1/31,6.09925,6.11125,5.86875,5.91075,5.886984,370420000,3105,951,0.04,990,7.67,1096
2020/2/3,5.8925,6.02775,5.88625,6.00825,5.984091,255564000,3105,951,0.04,990,7.67,1096
2020/2/4,6.15075,6.1975,6.1005,6.17825,6.153409,271544000,3105,951,0.04,990,7.67,1096
2020/2/5,6.29975,6.31,6.18525,6.269,6.243792,208220000,3105,951,0.04,990,7.67,1096
2020/2/6,6.3035,6.35625,6.222,6.35625,6.330691,218284000,3105,951,0.04,990,7.67,1096
2020/2/7,6.316,6.33825,6.26425,6.28975,6.264459,189752000,3105,951,0.04,990,7.67,1096
2020/2/10,6.3125,6.575,6.3075,6.57425,6.547816,529608000,3105,951,0.04,990,7.67,1096
2020/2/11,6.683,6.8125,6.62075,6.69725,6.670322,638556000,3105,951,0.04,990,7.67,1096
2020/2/12,6.75025,6.82,6.71125,6.8135,6.786104,374644000,3105,951,0.04,990,7.67,1096
2020/2/13,6.75525,6.837,6.72775,6.7695,6.74228,528016000,3105,951,0.04,990,7.67,1096
